sample.sampleKitGuid,batch_id
KT00118,B070
KT00416,B122
KT00103,B046
KT02957,B122
KT00068,B006
KT02853,B122
KT04671,B182
KT00108,B098
KT02854,B104
KT00409,B176
KT00420,B046
KT00447,B046
KT00075,B006
KT04092,B158
KT02985,B122
KT00105,B070
KT00084,B010
KT02952,B122
KT04085,B159
KT04474,B178
KT00500,B176
KT00492,B176
KT02963,B122
KT02971,B178
KT00208,B043
KT00468,B098
KT00077,B001
KT00070,B001
KT04108,B164
KT00082,B005
KT02830,B103
KT00440,B041
KT00056,B002
KT00063,B140
KT00097,B009
KT02286,B182
KT02958,B122
KT02981,B178
KT00088,B010
KT04118,B160
KT02970,B122
KT00081,B009
KT00052,B140
KT02298,B182
KT00058,B001
KT00436,B047
KT02948,B177
KT00060,B002
KT00211,B026
KT04625,B190
KT02823,B109
KT04937,B182
KT00109,B046
KT00777,B122
KT03936,B178
KT00092,B009
KT04445,B158
KT00453,B087
KT00114,B046
KT00120,B140
KT02287,B182
KT00424,B043
KT04103,B177
KT00219,B026
KT04462,B158
KT03939,B159
KT03930,B164
KT00090,B006
KT02177,B100
KT04652,B158
KT00065,B140
KT02135,B087
KT00087,B010
KT02141,B122
KT00480,B088
KT00076,B140
KT00778,B122
KT02292,B182
KT03931,B160
KT00221,B026
KT02992,B122
KT00099,B005
KT04933,B182
KT00464,B098
KT04072,B158
KT00477,B087
KT02136,B104
KT02133,B087
KT00790,B088
KT00482,B087
KT02284,B182
KT00074,B140
KT02953,B122
KT02975,B165
KT02968,B146
KT04105,B140
KT04906,B182
KT02978,B182
KT00493,B176
KT04633,B159
KT03932,B146
KT00474,B087
KT00072,B140
KT00227,B026
KT00073,B006
KT00067,B006
KT04905,B188
KT02839,B109
KT00497,B176
KT00086,B006
KT00095,B009
KT04102,B134
KT00093,B026
KT02140,B088
KT02844,B103
KT00473,B098
KT02132,B087
KT02164,B100
KT04115,B178
KT00463,B098
KT00107,B017
KT02139,B088
KT00443,B046
KT00069,B140
KT02303,B182
KT04634,B182
KT02856,B104
KT02817,B109
KT02969,B122
KT00465,B087
KT00064,B140
KT00478,B104
KT00057,B002
KT00461,B087
KT02974,B122
KT00202,B048
KT00467,B088
KT04924,B188
KT00055,B002
